EDAD;SEXO;p1;p2
1;M;0,098869205;0,040667974
2;M;0,099048393;0,043921861
3;M;0,092970244;0,044978248
4;M;0,082449832;0,045342455
5;M;0,077374883;0,04776345
6;M;0,0673552;0,051905917
7;M;0,061665773;0,060243621
8;M;0,071357725;0,067302686
9;M;0,069016264;0,0719318
10;M;0,063107809;0,0674929
11;M;0,048511322;0,061047444
12;M;0,045183966;0,059065375
13;M;0,041599486;0,058128335
14;M;0,033759983;0,062393087
15;M;0,022832583;0,067204916
16;M;0,01386976;0,058392306
17;M;0,007329821;0,044723261
18;M;0,003697749;0,047494362
1;F;0,089898614;0,036136547
2;F;0,090328354;0,039018933
3;F;0,085235733;0,039918867
4;F;0,076856813;0,040004031
5;F;0,072481536;0,042276615
6;F;0,064290041;0,046591364
7;F;0,060219784;0,054631769
8;F;0,069099311;0,061722154
9;F;0,067639391;0,06725675
10;F;0,062265086;0,06499214
11;F;0,05288501;0,060872147
12;F;0,050517849;0,060022728
13;F;0,047095046;0,060350958
14;F;0,04063073;0,065342301
15;F;0,03062343;0,070481732
16;F;0,02038376;0,063636219
17;F;0,01232348;0,053148314
18;F;0,007226032;0,073596431
