ICDO;SEXO;apc1;apc2
14;M;-3,6;-1,6
15;M;-1,6;-1,8
16;M;-2,4;-4,3
18;M;2,4;-0,6
19;M;0,7;-1
22;M;-0,4;-0,4
23;M;-0,2;0,2
25;M;1,7;1,2
32;M;-4,1;-4,3
34;M;-1;-1,9
43;M;1,4;1,5
61;M;0,6;-1,9
62;M;4,5;1,7
64;M;3,7;1,4
67;M;1,7;-3
71;M;-0,1;-1,7
73;M;4,7;4,3
81;M;1,2;0,2
82;M;1,4;0,4
90;M;0,7;-2,6
91;M;-1,1;-3,2
99;M;-2,1;1,8
14;F;0,5;1,1
15;F;-1,8;0,6
16;F;-2;-2,9
18;F;0,9;-0,5
19;F;0,5;-0,7
22;F;-1,2;-1,9
23;F;-3,4;-1,3
25;F;1,9;1,7
32;F;2,7;1,4
34;F;5,3;4,1
43;F;1,6;0
50;F;0,8;-0,2
53;F;-1,1;-0,5
54;F;1,4;0
56;F;-1,2;-0,7
64;F;4,3;-0,5
67;F;3,6;-0,8
71;F;1,4;0,3
73;F;5,5;2,2
81;F;1,7;0,3
82;F;2,9;-0,4
90;F;-0,4;-2
91;F;0,2;-1,4
99;F;-1,6;0
