ZONA;DESCRIPCION;AÑOI;AÑOF
1;Província de Alphalandia;2000;2025
2;Província de Betalandia;2000;2025
3;Província de Gammalandia;2000;2025
4;Província de Deltalandia;2000;2025
5;Província de Epsilonlandia;2000;2025
6;Província de Zetalandia;2000;2025
7;Província de Etalandia;2000;2025
8;Província de Thetalandia;2000;2025
9;Província de Iotalandia;2000;2025
10;Província de Kappalandia;2000;2025
11;Província de Lambdalandia;2000;2025
12;Província de Milandia;2000;2025
13;Província de Nilandia;2000;2025
14;Província de Xilandia;2000;2025
15;Província de Omicronlandia;2000;2025
16;Província de Pilandia;2000;2025
17;Província de Rholandia;2000;2025
18;Província de Sigmalandia;2000;2025
100;TOTAL;2000;2025
