"edadgr";"mun";"euro";"worltr";"period";"acum";"avp";"menos_50";"euro_tr";"menos_20";"may_65";"de45_64";"desde_65";"menos_15"
1;12000;8000;0;5;0;2,5;11267,599609375;0;27586;0;0;0;36363,640625
2;10000;7000;0;5;0;7,5;9859,150390625;0;24138;0;0;0;31818,1796875
3;9000;7000;0;5;0;12,5;9859,150390625;0;24138;0;0;0;31818,1796875
4;9000;7000;0;5;0;17,5;9859,150390625;0;24138;0;0;0;NA
5;8000;7000;0;5;43,5;22,5;9859,150390625;0;0;0;0;0;NA
6;8000;7000;0;5;38,5;27,5;9859,150390625;0;0;0;0;0;NA
7;6000;7000;0;5;33,5;32,5;9859,150390625;0;0;0;0;0;NA
8;6000;7000;19350;5;28,5;37,5;9859,150390625;17948,720703125;0;0;0;0;NA
9;6000;7000;19350;5;23,5;42,5;9859,150390625;17948,720703125;0;0;0;0;NA
10;6000;7000;19350;5;18,5;47,5;9859,150390625;17948,720703125;0;0;28000;0;NA
11;5000;7000;16130;5;13,5;52,5;0;17948,720703125;0;0;28000;0;NA
12;4000;6000;12910;5;8,5;57,5;0;15384,6201171875;0;0;24000;0;NA
13;4000;5000;12910;5;3,5;62,5;0;12820,509765625;0;0;20000;0;NA
14;3000;4000;0;5;0;67,5;0;0;0;40000;0;36364;NA
15;2000;3000;0;5;0;72,5;0;0;0;30000;0;27273;NA
16;1000;2000;0;0;0;77,5;0;0;0;20000;0;18182;NA
17;500;1000;0;0;0;82,5;0;0;0;10000;0;9091;NA
18;500;1000;0;0;0;87,5;0;0;0;10000;0;9091;NA
